channel,order,expected_sequence,zero_rms,positive_rms,negative_rms,unwanted_sequence_pct
Ifilter,14,negative,8.056993770278421e-15,3.2030589622149696e-10,1.7403915971122647e-10,
Ifilter,15,zero,3.9363804143879325e-15,2.789997407774751e-10,1.446750769975886e-10,
Ifilter,16,positive,7.936520144350359e-15,2.4589828648737027e-10,1.2164057806798147e-10,
Ifilter,17,negative,5.630058099433228e-15,2.188828374292844e-10,1.0329193427469558e-10,
Ifilter,18,zero,7.037253342431476e-15,1.966035749602724e-10,8.83868552693841e-11,
Ifilter,19,positive,2.2204460492495455e-15,1.7784302968655772e-10,7.610717922132961e-11,
Ifilter,20,negative,6.0955636700823714e-15,1.618816813094277e-10,6.59011830454364e-11,
Ifilter,21,zero,2.3436256116594054e-15,1.4833960309124496e-10,5.7434085135164474e-11,
Ifilter,22,positive,4.7107316633048275e-15,1.3646799451419146e-10,5.0178562021587086e-11,
Ifilter,23,negative,4.0876047055270486e-15,1.2620067884410403e-10,4.405640960961645e-11,
Ifilter,24,zero,3.1401849173664648e-15,1.1719777732613637e-10,3.87237723428258e-11,
Ifilter,25,positive,1.1698359595632546e-14,1.0917818924747981e-10,3.419416389063186e-11,
Ilinear,1,positive,0.0,0.0,0.0,
Ilinear,2,negative,0.0,0.0,0.0,
Ilinear,3,zero,0.0,0.0,0.0,
Ilinear,4,positive,0.0,0.0,0.0,
Ilinear,5,negative,0.0,0.0,0.0,
Ilinear,6,zero,0.0,0.0,0.0,
Ilinear,7,positive,0.0,0.0,0.0,
Ilinear,8,negative,0.0,0.0,0.0,
Ilinear,9,zero,0.0,0.0,0.0,
Ilinear,10,positive,0.0,0.0,0.0,
Ilinear,11,negative,0.0,0.0,0.0,
Ilinear,12,zero,0.0,0.0,0.0,
Ilinear,13,positive,0.0,0.0,0.0,
Ilinear,14,negative,0.0,0.0,0.0,
Ilinear,15,zero,0.0,0.0,0.0,
Ilinear,16,positive,0.0,0.0,0.0,
Ilinear,17,negative,0.0,0.0,0.0,
Ilinear,18,zero,0.0,0.0,0.0,
Ilinear,19,positive,0.0,0.0,0.0,
Ilinear,20,negative,0.0,0.0,0.0,
Ilinear,21,zero,0.0,0.0,0.0,
Ilinear,22,positive,0.0,0.0,0.0,
Ilinear,23,negative,0.0,0.0,0.0,
Ilinear,24,zero,0.0,0.0,0.0,
Ilinear,25,positive,0.0,0.0,0.0,
Vpcc,1,positive,8.611084844196558e-12,277.5143622091448,7.243298654902488e-11,2.628442286969701e-11
Vpcc,2,negative,1.4337930127043954e-12,2.1004322027737137e-10,1.2435017964369168e-10,
Vpcc,3,zero,2.248597445904336e-12,4.197355251216474e-10,2.4278414063483765e-10,
Vpcc,4,positive,1.971369121172327e-12,1.1444923570796107e-09,8.959781598578447e-10,
Vpcc,5,negative,9.191440254978248e-13,3.292275286692612e-09,0.6252530880035397,5.265508444763104e-07
Vpcc,6,zero,9.59499109804859e-13,7.649821896211289e-10,6.752778695071569e-10,
Vpcc,7,positive,6.2457006131766405e-12,2.9803961637867835,4.057454696191922e-10,1.3615422748281714e-08
Vpcc,8,negative,2.8605290204273765e-13,3.5083362739045693e-10,3.029220021985516e-10,
Vpcc,9,zero,1.7675320841649385e-13,2.739940520960484e-10,2.4977362614882015e-10,
Vpcc,10,positive,4.933186419358596e-13,2.2274412561653744e-10,2.032180788793072e-10,
Vpcc,11,negative,5.404945994607829e-12,1.8753009069314529e-10,3.2510397764006123,5.770706525827017e-09
Vpcc,12,zero,9.026857708407658e-13,1.707438005856152e-10,3.547364323200481e-10,
Vpcc,13,positive,6.813788085476171e-12,3.015117070154635,1.431361963166422e-10,4.752660722190877e-09
Vpcc,14,negative,4.853446981028512e-13,1.38692368862673e-10,1.2771343357608423e-10,
Vpcc,15,zero,2.4767438253736647e-13,1.291470728882479e-10,1.1153032421466657e-10,
Vpcc,16,positive,2.2669419052858745e-13,1.1703832049205832e-10,1.1291721441954096e-10,
Vpcc,17,negative,1.351565809620671e-13,1.094168017650095e-10,1.0586630527027501e-10,
Vpcc,18,zero,2.435357090927868e-13,1.0250535370621118e-10,9.601860908308757e-11,
Vpcc,19,positive,4.871815385422686e-13,9.683078482566165e-11,9.723131152683273e-11,
Vpcc,20,negative,4.903011251522321e-13,9.011345728052012e-11,8.506150399433464e-11,
Vpcc,21,zero,3.3332209513289976e-13,8.704175328617923e-11,7.971905563183498e-11,
Vpcc,22,positive,2.830947867639149e-13,8.008529713518992e-11,8.559867156222286e-11,
Vpcc,23,negative,1.9625550017420706e-13,7.418763267019903e-11,7.146143551464862e-11,
Vpcc,24,zero,1.1618816213296292e-13,8.295835654243843e-11,7.129252587232721e-11,
Vpcc,25,positive,4.0229242755323557e-14,7.090520494478796e-11,6.727750528234347e-11,
